scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.030250508,0.5176399,0.87084156,-0.0027082814,9.998858,-8.373904,0.0762739
-0.5439434,0.36674723,0.1253799,-0.003434169,10.0062275,-8.380663,-0.3800391
0.6452892,0.06614736,0.46071514,-0.002807268,9.996435,-8.370971,-0.06502158
0.51377076,-0.3701324,0.6271623,-0.0027822712,10.002734,-8.377116,-0.15790848
0.7589044,0.5469709,0.5792431,-0.0029070126,10.001368,-8.375743,-0.05995717
0.34485114,0.856603,0.13759232,-0.003071227,10.001008,-8.375266,-0.02301532
0.23135379,-0.3447525,0.8352737,-0.0029377462,10.002056,-8.376438,-0.12774469
0.4183219,0.49964666,0.5635356,-0.0030649686,9.995652,-8.370127,-0.016004067
0.8546778,0.16928725,0.55777794,-0.0028889524,10.000952,-8.375361,-0.06273186
-0.12437156,0.19092937,0.466251,-0.0029822933,9.983242,-8.357912,0.17230202
-0.48274606,-0.5481401,0.16934662,-0.0028554657,10.003644,-8.378445,0.2668863
0.5155661,0.41237566,0.42121586,-0.0030387351,9.995989,-8.370381,-0.029449416
-0.24305502,-0.11609514,0.2035319,-0.0032423297,10.011583,-8.386122,0.3022508
0.5934102,0.43072534,0.3723347,-0.0030069454,9.99834,-8.372743,-0.030495372
0.40687704,-0.44235268,0.5670214,-0.0029117456,10.002848,-8.377108,-0.15513937
0.014261363,0.33043662,0.013104804,-0.003027062,10.001449,-8.376215,0.028732797
0.5769264,0.0840862,0.59592915,-0.0027931808,9.993005,-8.367514,-0.0784532
-0.5888925,0.09416783,0.3356578,-0.003294955,10.014296,-8.388879,-0.1169866
0.45298234,-0.6414735,0.5419981,-0.0027707694,10.002803,-8.377282,-0.14402738
0.5053594,0.39464292,0.31439245,-0.0030607907,9.995396,-8.369745,-0.0134866685
0.15284637,-0.31391296,0.49684927,-0.0031513916,9.999831,-8.374095,-0.1086155
0.3965706,0.28250787,0.6868025,-0.0028498797,9.990212,-8.364725,-0.03739412
-0.52506757,0.15087506,0.64688706,-0.003266384,10.009475,-8.384065,0.34113222
0.12702563,-0.06710221,0.26240453,-0.002759765,9.978541,-8.353242,0.033160873
0.8184363,-0.052174482,0.26251733,-0.0031757327,10.000613,-8.374952,-0.014756619
0.22922453,-0.8632429,0.61773944,-0.0030353488,10.002062,-8.376516,-0.074866846
0.20142454,0.4546744,0.07332901,-0.0025763782,9.993538,-8.368268,0.013926739
-0.11242508,-0.044717196,0.39044243,-0.0028330395,9.975663,-8.350324,0.1969777
0.02415926,-0.056159634,0.71279025,-0.002893283,9.988153,-8.362648,0.023000138
